bin_index,bin_lo,bin_hi,n,mean_pred,observed_freq,wilson_lo,wilson_hi,passes,excluded
0,0.00,0.10,4347,0.008739,0.022084,0.018119,0.026893,False,False
1,0.10,0.20,178,0.144380,0.191011,0.140031,0.255047,True,False
2,0.20,0.30,96,0.244086,0.281250,0.201073,0.378261,True,False
3,0.30,0.40,65,0.355928,0.292308,0.195833,0.411963,True,False
4,0.40,0.50,58,0.443089,0.275862,0.177522,0.402049,False,False
5,0.50,0.60,54,0.561014,0.537037,0.406051,0.663103,True,False
6,0.60,0.70,44,0.661477,0.477273,0.337548,0.620648,False,False
7,0.70,0.80,41,0.745593,0.585366,0.433668,0.722437,False,False
8,0.80,0.90,45,0.847323,0.755556,0.613263,0.857647,True,False
9,0.90,1.00,72,0.949459,0.875000,0.779187,0.932823,False,False
